,age_ka,sea_level_m
0,0.000,-10.860
1,50.000,-69.230
2,100.000,-29.930
3,150.000,-64.223
4,200.000,0.981
5,250.000,-59.429
6,300.000,-25.324
7,350.000,-71.623
8,400.000,10.890
9,450.000,-65.884
10,500.000,-11.871
11,550.000,-60.718
12,600.000,-39.961
13,650.000,-65.538
14,700.000,-46.316
15,750.000,-65.703
16,800.000,-67.479
17,850.000,-18.470
18,900.000,-58.472
19,950.000,0.139
20,1000.000,-32.109
21,1050.000,-42.852
22,1100.000,-38.087
23,1150.000,-14.690
24,1200.000,-25.428
25,1250.000,-59.192
26,1300.000,-34.941
27,1350.000,-2.083
28,1400.000,-10.171
29,1450.000,-22.701
30,1500.000,-43.297
31,1550.000,-27.226
32,1600.000,-15.738
33,1650.000,-51.317
34,1700.000,-41.330
35,1750.000,-37.129
36,1800.000,-32.037
37,1850.000,-1.895
38,1900.000,-36.925
39,1950.000,-26.471
40,2000.000,-18.621
41,2050.000,-31.615
42,2100.000,-29.712
43,2150.000,-41.532
44,2200.000,-28.110
45,2250.000,-11.574
46,2300.000,-4.904
47,2350.000,-13.979
48,2400.000,-26.927
49,2450.000,-33.567
50,2500.000,-9.614
51,2550.000,5.700
52,2600.000,-40.264
53,2650.000,-18.316
54,2700.000,-33.145
55,2750.000,8.408
56,2800.000,-19.529
57,2850.000,-15.951
58,2900.000,-10.037
59,2950.000,8.625
60,3000.000,-12.179
61,3050.000,-15.817
62,3100.000,3.574
63,3150.000,2.150
64,3200.000,2.873
65,3250.000,10.425
66,3300.000,-27.821
67,3350.000,-20.013
68,3400.000,-1.859
69,3450.000,8.049
70,3500.000,22.530
71,3550.000,9.657
72,3600.000,12.330
73,3650.000,22.758
74,3700.000,18.976
75,3750.000,16.383
76,3800.000,6.971
77,3850.000,29.957
78,3900.000,14.240
79,3950.000,6.179
80,4000.000,-25.558
81,4050.000,-15.419
82,4100.000,11.440
83,4150.000,9.412
84,4200.000,8.122
85,4250.000,-6.698
86,4300.000,3.144
87,4350.000,8.870
88,4400.000,2.535
89,4450.000,5.869
90,4500.000,-3.229
91,4550.000,4.686
92,4600.000,-4.415
93,4650.000,1.450
94,4700.000,-11.241
95,4750.000,-5.787
96,4800.000,-0.239
97,4850.000,-35.946
98,4900.000,-36.956
99,4950.000,-14.441
100,5000.000,2.617
101,5050.000,-18.606
102,5100.000,-2.934
103,5150.000,13.955
104,5200.000,-0.783
105,5250.000,14.753
106,5300.000,-2.575
107,5350.000,1.638
108,5400.000,-5.570
109,5450.000,-0.083
110,5500.000,-7.789
111,5550.000,-13.669
112,5600.000,-7.637
113,5650.000,-7.415
114,5700.000,-11.066
115,5750.000,-24.222
116,5800.000,-0.628
117,5850.000,2.438
118,5900.000,-7.092
119,5950.000,-11.700
120,6000.000,-13.789
121,6050.000,-11.844
122,6100.000,-4.688
123,6150.000,-12.001
124,6200.000,-10.446
125,6250.000,-10.469
126,6300.000,-5.840
127,6350.000,-7.182
128,6400.000,-10.754
129,6450.000,-13.781
130,6500.000,-19.589
131,6550.000,-14.581
132,6600.000,-13.012
133,6650.000,-14.077
134,6700.000,-3.889
135,6750.000,-3.860
136,6800.000,-8.261
137,6850.000,-3.048
138,6900.000,-4.361
139,6950.000,-6.339
140,7000.000,-1.838
141,7050.000,1.378
142,7100.000,-6.010
143,7150.000,-2.047
144,7200.000,10.020
145,7250.000,3.014
146,7300.000,-12.356
147,7350.000,-4.714
148,7400.000,4.364
149,7450.000,-8.645
150,7500.000,-9.114
151,7550.000,-17.669
152,7600.000,-16.714
153,7650.000,-17.478
154,7700.000,-18.606
155,7750.000,-16.794
156,7800.000,-27.305
157,7850.000,-17.901
158,7900.000,-17.905
159,7950.000,-26.310
160,8000.000,-18.696
161,8050.000,-22.322
162,8100.000,-20.661
163,8150.000,-19.000
164,8200.000,-17.339
165,8250.000,-15.678
166,8300.000,-14.017
167,8350.000,-12.356
168,8400.000,-20.023
169,8450.000,-21.622
170,8500.000,-15.810
171,8550.000,-26.446
172,8600.000,-29.783
173,8650.000,-28.839
174,8700.000,-23.331
175,8750.000,-16.804
176,8800.000,-26.440
177,8850.000,-23.478
178,8900.000,-32.742
179,8950.000,-15.362
180,9000.000,-19.657
181,9050.000,1.882
182,9100.000,-23.374
183,9150.000,-13.985
184,9200.000,-21.864
185,9250.000,-19.213
186,9300.000,-18.638
187,9350.000,-7.727
188,9400.000,-24.345
189,9450.000,-30.950
190,9500.000,-21.720
191,9550.000,-8.815
192,9600.000,8.127
193,9650.000,-6.769
194,9700.000,-19.886
195,9750.000,-10.230
196,9800.000,-4.772
197,9850.000,-11.294
198,9900.000,-25.135
199,9950.000,-14.202
200,10000.000,1.215
201,10050.000,-3.938
202,10100.000,5.140
203,10150.000,-8.897
204,10200.000,-2.830
205,10250.000,-8.388
206,10300.000,-17.230
207,10350.000,-4.060
208,10400.000,-2.993
209,10450.000,3.370
210,10500.000,1.120
211,10550.000,-9.995
212,10600.000,-7.570
213,10650.000,2.180
214,10700.000,7.620
215,10750.000,16.320
216,10800.000,-11.296
217,10850.000,-2.485
218,10900.000,-0.140
219,10950.000,12.855
220,11000.000,2.455
221,11050.000,-7.700
222,11100.000,-12.010
223,11150.000,9.645
224,11200.000,0.530
225,11250.000,0.200
226,11300.000,-7.910
227,11350.000,-1.197
228,11400.000,-6.380
229,11450.000,11.410
230,11500.000,3.773
231,11550.000,-1.213
232,11600.000,1.387
233,11650.000,-11.615
234,11700.000,5.254
235,11750.000,2.860
236,11800.000,14.957
237,11850.000,1.110
238,11900.000,-13.957
239,11950.000,-3.880
240,12000.000,21.690
241,12050.000,15.130
242,12100.000,4.563
243,12150.000,11.753
244,12200.000,-1.390
245,12250.000,1.743
246,12300.000,17.787
247,12350.000,12.230
248,12400.000,-6.243
249,12450.000,4.160
250,12500.000,-4.100
251,12550.000,-4.260
252,12600.000,4.190
253,12650.000,-4.200
254,12700.000,1.146
255,12750.000,7.070
256,12800.000,-16.153
257,12850.000,-8.287
258,12900.000,-17.615
259,12950.000,3.017
260,13000.000,-21.750
261,13050.000,16.870
262,13100.000,8.400
263,13150.000,20.753
264,13200.000,6.630
265,13250.000,14.950
