Long,Lat,Seq_2_Top_m,Seq_3_Top_m,Seq_4_Top_m,Seq_5_Top_m,Seq_6_Top_m,Seq_7_Top_m,Seq_8_Top_m,Seq_2_rate_mm_yr,Seq_3_rate_mm_yr,Seq_4_rate_mm_yr,Seq_5_rate_mm_yr,Seq_6_rate_mm_yr,Seq_7_rate_mm_yr,Seq_8_rate_mm_yr
-90.885,30.98,27.47,7.18,-2.05,-20.99,-34.86,-56.14,-90.37,0.047365977,0.008578526,-0.001184424,-0.01287845,-0.018064712,-0.02348816,-0.037810854
-90.885,30.95,25.63,4.40,-5.25,-25.07,-39.59,-61.86,-97.69,0.04418338,0.007038248,-0.001678708,-0.013732768,-0.019538765,-0.025608328,-0.040873312
-90.885,30.92,31.17,8.75,-1.44,-22.38,-37.71,-61.20,-99.01,0.053743646,0.004318172,-0.004299965,-0.015381458,-0.020514315,-0.025881329,-0.041426159
-90.885,30.89,20.11,-2.45,-12.70,-33.75,-49.14,-72.75,-110.72,0.034667201,-0.001037045,-0.009370486,-0.020065962,-0.025007549,-0.030172642,-0.046223029
-90.885,30.86,21.77,-1.06,-11.43,-32.71,-48.26,-72.11,-110.47,0.037529031,-0.002398027,-0.010409198,-0.02070319,-0.025462684,-0.030437302,-0.046325306
-90.885,30.83,18.95,-4.20,-14.72,-36.28,-52.05,-76.23,-115.12,0.032673283,-0.004115084,-0.012063538,-0.022258712,-0.026969877,-0.031895034,-0.048166586
-90.885,30.80,9.46,-14.03,-24.70,-46.58,-62.58,-87.13,-126.62,0.016302866,-0.013750684,-0.020244414,-0.028574263,-0.032427199,-0.03645632,-0.052978082
-90.885,30.77,8.15,-15.84,-26.75,-49.11,-65.49,-90.61,-131.02,0.014052366,-0.015530037,-0.021923573,-0.030131545,-0.033934284,-0.037912212,-0.054821488
-90.885,30.74,-0.13,-25.01,-36.33,-59.53,-76.53,-102.59,-144.52,-0.000218674,-0.024521542,-0.029775105,-0.036523254,-0.03965097,-0.042922991,-0.060466962
-90.885,30.71,-4.70,-30.67,-42.48,-66.70,-84.43,-111.61,-155.34,-0.008107442,-0.030072422,-0.034821087,-0.040921513,-0.043745703,-0.046699236,-0.064997303
-90.885,30.68,-9.67,-37.65,-50.37,-76.45,-95.53,-124.77,-171.82,-0.01666701,-0.036913074,-0.041288645,-0.046901952,-0.049494931,-0.052205717,-0.071889867
-90.885,30.65,-16.00,-47.03,-61.13,-90.03,-111.17,-143.57,-195.69,-0.027594389,-0.046109122,-0.050109357,-0.055235223,-0.057599755,-0.060071205,-0.081877744
-90.885,30.62,-21.86,-55.78,-71.19,-102.76,-125.84,-161.22,-218.12,-0.037693957,-0.054684234,-0.058353013,-0.063043791,-0.06520133,-0.067455583,-0.091262882
-90.885,30.59,-29.30,-66.53,-83.45,-118.11,-143.46,-182.31,-244.80,-0.050514601,-0.0652252,-0.068401236,-0.072461342,-0.074329361,-0.076280226,-0.102427326
-90.885,30.56,-32.26,-70.64,-88.09,-123.83,-149.97,-190.04,-254.50,-0.055616864,-0.069257394,-0.072202644,-0.075969263,-0.077704299,-0.079516685,-0.106487228
-90.885,30.53,-37.72,-77.80,-96.02,-133.36,-160.68,-202.52,-269.82,-0.065039801,-0.07627619,-0.07870413,-0.081818801,-0.083252272,-0.084734356,-0.112896163
-90.885,30.50,-43.99,-86.01,-105.10,-144.25,-172.31,-213.99,-281.03,-0.075852312,-0.084320468,-0.086150263,-0.088498017,-0.089281247,-0.089533721,-0.117584396
-90.885,30.47,-54.36,-101.77,-123.32,-167.51,-197.95,-240.24,-308.27,-0.093727059,-0.09977128,-0.101078631,-0.102764299,-0.102564003,-0.100516831,-0.128984708
