site,age_ka,oxygen,delW,sea_level_m
Vema 1930,0.000,2.870,0.140,-10.860
Vema 1930,1.310,2.840,0.110,-8.460
Vema 1930,2.840,2.670,-0.060,5.140
Vema 1930,3.570,2.790,0.060,-4.460
Vema 1930,4.310,2.630,-0.100,8.340
Vema 1930,5.450,2.760,0.030,-2.060
Vema 1930,6.130,2.750,0.020,-1.260
Vema 1930,6.770,2.650,-0.080,6.740
Vema 1930,7.710,2.920,0.190,-14.860
Vema 1930,8.900,2.920,0.190,-14.860
Vema 1930,9.480,2.880,0.150,-11.660
Vema 1930,10.030,2.890,0.160,-12.460
Vema 1930,10.550,2.820,0.090,-6.860
Vema 1930,10.980,2.840,0.110,-8.460
Vema 1930,11.500,2.820,0.090,-6.860
Vema 1930,11.880,3.210,0.480,-38.060
Vema 1930,12.260,3.050,0.320,-25.260
Vema 1930,12.600,3.230,0.500,-39.660
Vema 1930,12.920,2.780,0.050,-3.660
Vema 1930,13.240,3.340,0.610,-48.460
Vema 1930,13.540,3.260,0.230,-18.030
Vema 1930,13.840,3.230,0.200,-15.630
Vema 1930,14.130,3.250,0.220,-17.230
Vema 1930,14.430,3.740,0.710,-56.430
Vema 1930,14.730,3.460,0.430,-34.030
Vema 1930,15.020,3.610,0.580,-46.030
Vema 1930,15.310,3.520,0.490,-38.830
Vema 1930,15.590,3.800,0.770,-61.230
Vema 1930,15.880,4.090,1.060,-84.430
Vema 1930,16.160,4.000,0.970,-77.230
Vema 1930,16.540,4.200,1.170,-93.230
Vema 1930,16.830,4.270,1.240,-98.830
Vema 1930,17.110,4.280,1.250,-99.630
Vema 1930,17.390,4.190,1.160,-92.430
Vema 1930,17.670,4.150,1.120,-89.230
Vema 1930,17.950,4.580,1.550,-123.630
Vema 1930,18.230,4.560,1.530,-122.030
Vema 1930,18.500,4.440,1.410,-112.430
Vema 1930,18.760,4.350,1.320,-105.230
Vema 1930,19.030,4.510,1.480,-118.030
Vema 1930,19.260,4.490,1.460,-116.430
Vema 1930,19.530,4.360,1.330,-106.030
Vema 1930,19.770,4.340,1.310,-104.430
Vema 1930,20.000,4.230,1.200,-95.630
Vema 1930,20.240,4.480,1.450,-115.630
Vema 1930,20.470,4.500,1.470,-117.230
Vema 1930,20.840,4.320,1.290,-102.830
Vema 1930,21.130,4.310,1.280,-102.030
Vema 1930,21.340,4.430,1.400,-111.630
Vema 1930,21.550,4.460,1.430,-114.030
Vema 1930,21.760,4.250,1.220,-97.230
Vema 1930,21.960,4.410,1.380,-110.030
Vema 1930,22.170,4.350,1.320,-105.230
Vema 1930,22.370,4.360,1.330,-106.030
Vema 1930,22.570,4.250,1.220,-97.230
Vema 1930,22.770,4.250,1.220,-97.230
Vema 1930,22.970,4.320,1.290,-102.830
Vema 1930,23.170,4.320,1.290,-102.830
Vema 1930,23.370,4.340,1.310,-104.430
Vema 1930,23.570,4.290,1.260,-100.430
Vema 1930,23.770,4.290,1.260,-100.430
Vema 1930,23.970,4.480,1.450,-115.630
Vema 1930,24.170,4.320,1.290,-102.830
Vema 1930,24.370,4.330,1.300,-103.630
Vema 1930,24.580,4.300,1.270,-101.230
Vema 1930,24.790,4.230,1.200,-95.630
Vema 1930,25.000,4.320,1.290,-102.830
Vema 1930,25.220,4.410,1.380,-110.030
Vema 1930,25.450,4.270,1.240,-98.830
Vema 1930,25.670,4.140,1.110,-88.430
Vema 1930,25.900,4.280,1.250,-99.630
Vema 1930,26.140,4.420,1.390,-110.830
Vema 1930,26.370,4.280,1.250,-99.630
Vema 1930,26.620,4.190,1.160,-92.430
Vema 1930,26.880,4.120,1.090,-86.830
Vema 1930,27.130,4.170,1.140,-90.830
Vema 1930,27.400,4.170,1.140,-90.830
Vema 1930,27.680,4.230,1.200,-95.630
Vema 1930,27.950,4.120,1.090,-86.830
Vema 1930,28.250,4.200,1.170,-93.230
Vema 1930,28.550,4.090,1.060,-84.430
Vema 1930,28.850,3.980,0.950,-75.630
Vema 1930,29.170,3.910,0.880,-70.030
Vema 1930,29.480,3.890,0.860,-68.430
Vema 1930,29.810,4.050,1.020,-81.230
Vema 1930,30.140,4.000,0.970,-77.230
Vema 1930,30.470,4.030,1.000,-79.630
Vema 1930,30.810,3.990,0.960,-76.430
Vema 1930,31.160,3.710,0.680,-54.030
Vema 1930,31.510,3.920,0.890,-70.830
Vema 1930,31.860,3.880,0.850,-67.630
Vema 1930,32.220,3.950,0.920,-73.230
Vema 1930,32.570,3.920,0.890,-70.830
Vema 1930,32.940,4.010,0.980,-78.030
Vema 1930,33.290,3.990,0.960,-76.430
Vema 1930,33.670,3.980,0.950,-75.630
Vema 1930,34.050,3.890,0.860,-68.430
Vema 1930,34.450,3.960,0.930,-74.030
Vema 1930,34.800,4.000,0.970,-77.230
Vema 1930,35.180,4.100,1.070,-85.230
Vema 1930,35.560,3.910,0.880,-70.030
Vema 1930,35.940,4.090,1.060,-84.430
Vema 1930,36.330,3.880,0.850,-67.630
Vema 1930,37.110,3.910,0.880,-70.030
Vema 1930,37.500,3.860,0.830,-66.030
Vema 1930,37.890,3.850,0.820,-65.230
Vema 1930,38.290,3.770,0.740,-58.830
Vema 1930,38.680,3.950,0.920,-73.230
Vema 1930,39.080,3.850,0.820,-65.230
Vema 1930,39.480,4.010,0.980,-78.030
Vema 1930,39.880,3.990,0.960,-76.430
Vema 1930,40.280,4.070,1.040,-82.830
Vema 1930,41.090,3.830,0.800,-63.630
Vema 1930,41.490,3.890,0.860,-68.430
Vema 1930,41.900,3.890,0.860,-68.430
Vema 1930,42.310,3.940,0.910,-72.430
Vema 1930,42.710,3.980,0.950,-75.630
Vema 1930,43.530,3.950,0.920,-73.230
Vema 1930,46.010,3.880,0.850,-67.630
Vema 1930,46.430,3.890,0.860,-68.430
