X,Z,Flexure_sb_m,Accumulation_sb_m
0.0,0.0,0.0,0.0
2510000.0,-669.5988501081714,-0.08069128303722853,-10.972989526264689
2530000.0,-684.2581378857698,3.2078865157570906,-26.860779204822514
2530000.0,-671.6645794958908,4.8134582287977095,-28.989487320080183
2540000.0,-691.4074223689898,1.320074853266628,-22.90495951960707
2560000.0,-733.2910036129707,2.8017042519727453,-37.978291756462475
2590000.0,-786.6398411501376,4.381513369668536,-41.99747018749054
2460000.0,-500.91342208355456,5.861102531895775,-45.600724112660416
2460000.0,-490.83743334364607,7.574259792538409,-49.080187100756184
2460000.0,-481.7499691114898,9.416471572046067,-52.5794334025213
2460000.0,-470.0096505158096,11.29780517678949,-56.052209631571316
2460000.0,-459.87790942816514,13.280831185850454,-59.47185344061643
2460000.0,-446.0445118520408,15.362499394776682,-62.854575188058824
2460000.0,-430.87574040018035,17.495477617266697,-66.20960922539996
2460000.0,-406.64273260967883,19.680626163985135,-69.54052875581918
2460000.0,-377.72355642153883,21.913810492595033,-72.83673448247826
2460000.0,-345.20668414925973,24.201340888698667,-76.09464456998616
2460000.0,-304.89667696569285,26.515132052364272,-79.34026060400281
2460000.0,-265.5853262633723,28.841880619358996,-82.55587875994384
2460000.0,-234.3282660669758,31.174541116817956,-85.73188699412468
2460000.0,-204.69714474428912,33.59807008009722,-88.86309303893607
2460000.0,-181.51013924229915,36.042422554900725,-91.95521117105955
2460000.0,-180.85466054763438,38.46977200120618,-95.04864180352608
2460000.0,-169.57900361770814,41.08478020105056,-98.11300288457669
2460000.0,-165.9664995063879,43.45051952502267,-101.01220302726583
2460000.0,-139.97302723594885,45.819272058000806,-103.58468711291256
2460000.0,-129.27461438737984,48.231115855189024,-107.43875111221205
2460000.0,-124.81167222672967,50.40653321826211,-111.86664977748033
2460000.0,-145.24008536281568,-262.8302778253674,509.0166403117625
2470000.0,-148.28168321082407,-271.97949846287906,527.0515567938509
2480000.0,-151.98742310281222,-277.583531490518,548.1677245611445
2490000.0,-165.30962897850156,63.44380630581913,-111.7617885324521
2490000.0,-165.6323796975003,65.95979469300714,-115.0991461858825
2500000.0,-182.4016346336968,68.53163568638047,-118.07337455316421
2520000.0,-181.29716803326303,70.73619931502952,-121.54783665610151
2530000.0,-188.3619096815533,72.9976696002256,-124.26475318603573
2540000.0,-205.1450043028596,75.28973147640696,-126.72490053680647
2540000.0,-199.66774037761317,77.18212692723831,-129.78775124346586
2550000.0,-218.25745812205017,79.60641258680353,-133.113963788398
2550000.0,-214.1759664425259,81.85632386466861,-136.28854053622766
2560000.0,-216.0451457606712,84.06769292595408,-139.32478087304395
2570000.0,-219.75614133339724,86.25348240285683,-141.93116391202116
2580000.0,-228.29995886510008,88.39960539635892,-145.03245506319928
2590000.0,-255.8485242797256,67.6485620569165,-103.30200112124928
2600000.0,-264.25294973402856,65.84459746752071,-94.03925725298375
2610000.0,-269.55569958532607,45.209624780106374,-80.56026800208853
2610000.0,-247.77054854642395,47.05272296416823,-85.46135796827834
2620000.0,-277.43735059762093,91.6028400971318,-125.63254365781196
2620000.0,-268.94736556335374,93.72438404864472,-125.67777915471443
2620000.0,-261.1480088732677,102.07501889895349,-189.9734146036404
2620000.0,-253.44126564557686,103.99791042632833,-195.47167058618953
2620000.0,-247.22188980229765,105.94179181148257,-200.13909037319488
2620000.0,-258.022848093613,107.92363755506014,-203.85417507366242
2610000.0,-234.45131078264322,109.75035939377834,-208.2779029405782
2610000.0,-249.51146962146782,111.79118382053248,-209.84101396092666
2630000.0,-288.3654218377978,113.5529751655034,-211.1102891275798
2640000.0,-301.978553312379,115.41428940386142,-212.61114689766603
2650000.0,-296.7277225353515,117.03721646390906,-214.8081005438975
2650000.0,-283.41857134506915,118.75404193515412,-221.07585699757882
2670000.0,-306.601858423434,120.54696698355575,-227.2620243097117
2680000.0,-312.20589838297224,122.32232023793027,-230.47408316274038
2690000.0,-320.78640889002276,124.10293883065972,-232.58055791923354
2700000.0,-347.1032861034354,-601.8993026629291,1228.9024596527433
2700000.0,-344.3186430007382,-608.7110040028091,1241.0537734727648
2690000.0,-320.5427928224709,-646.0712022210843,1257.4096464829213
2700000.0,-323.4986110133552,-625.6669480654591,1163.869903176157
2710000.0,-312.3212135490118,-649.97742852658,1228.6264270407394
2720000.0,-304.5492623092856,-672.8440011959652,1287.4269186927027
2730000.0,-298.5376505552381,-694.2867183424253,1341.3340632056888
2730000.0,-299.11811215380743,-698.0001424528078,1351.832730829719
2730000.0,-294.1570092950812,-692.3299495744363,1351.8320039906444
2730000.0,-304.7363777693797,-705.7788493414686,1367.7491436717087
2730000.0,-290.2125896746678,-709.8760307734385,1387.9473617317592
2730000.0,-287.5980107009103,-707.5197801885578,1387.946749617795
2730000.0,-284.66899083246636,-705.1211517666059,1387.9461373500128
2730000.0,-283.7108061004424,-704.3972765034198,1387.9460123027338
2730000.0,-279.86730860635856,-701.0638155418632,1387.9454760530105
2720000.0,-255.9510007523901,-700.8020738965827,1390.1075357890525
2720000.0,-254.74343645174991,-702.580828514244,1395.4102955137714
2720000.0,-254.81782332253263,-708.0283515552047,1397.7677520277975
2720000.0,-258.75282275215363,-712.7179469264685,1397.7672431193098
2720000.0,-265.5322256646966,-721.2193387059841,1397.76673387506
2720000.0,-276.78668976222565,-739.5791261213283,1423.353222606853
2730000.0,-306.21119301792754,-764.1459340630448,1504.3882528210986
2750000.0,-312.54484445642225,-790.6343684434952,1579.186223888333
2780000.0,-321.16268187569966,-827.2632549303107,1665.3484174888827
2790000.0,-331.26565120437414,-852.6761760610374,1718.89085789505
2810000.0,-355.2484947161839,-881.9068219666387,1785.8039074862504
2810000.0,-339.70363693058715,-903.636130756992,1829.9974607736985
2820000.0,-363.1978137089509,-920.3439677577404,1860.2293556838267
2820000.0,-343.31719702665634,-943.3748852052241,1912.1401893573493
2830000.0,-345.40311035712523,-965.0528347413307,1958.980579854112
2850000.0,-357.046206945128,-995.810024945671,2031.7675685553488
2850000.0,-347.00026989190246,-1020.6392919154237,2075.293272372663
2870000.0,-364.2152738988683,-1049.7832479258022,2140.8767407263294
2880000.0,-385.91319504625847,154.02184079448884,-185.55034404294534
2890000.0,-391.1293604345559,155.22979278420038,-187.702216060523
2900000.0,-395.44535172404494,156.43242169707136,-189.8293803982841
2890000.0,-371.9785167736077,157.59906109427934,-191.93552232647707
2900000.0,-391.3936663659835,158.78704550075565,-194.02716650740882
2920000.0,-413.4090614680367,159.9123702212651,-196.00525584532195
2930000.0,-421.8172639913933,161.0368182770775,-197.98238598727056
2930000.0,-415.33575405249667,162.10613638554116,-199.88823240472672
2930000.0,-414.2826016899054,163.24570325776884,-201.95443315293176
2930000.0,-408.9213928713369,164.38633737401048,-203.97704367239695
2930000.0,-415.23322544500513,-1197.2994118976003,2417.583464809827
2940000.0,-414.6620196561646,-1209.2539052106656,2440.549678142032
2940000.0,-404.13806898436536,-1227.5478846899007,2469.1158422135595
2950000.0,-403.8743019303481,-1223.7164726058613,2505.5108939617
2960000.0,-380.2303046030502,-1253.9444386062708,2570.8672889835098
2970000.0,-377.9398918547119,-1277.7342187500087,2618.519545190197
2980000.0,-363.2309614157291,-1295.3216718129393,2671.2141776431895
2970000.0,-343.69798543143764,-1323.0419853868975,2695.3473419260217
2970000.0,-346.27645027214936,-1326.2846035067166,2696.058914497322
2960000.0,-328.61219609317084,-1332.8732904983092,2703.596663412378
2960000.0,-327.6117907889775,-1339.0238329352785,2710.514418345971
2960000.0,-308.56571950732575,-1338.2977739326445,2725.884106729359
2950000.0,-292.6879405248861,-1339.244211394011,2726.597457163634
2970000.0,-291.8345191444327,-1360.9588661441726,2779.3437681982105
2980000.0,-323.8672216302003,-1053.4486826056896,2121.479757109787
