X,Y,Accumulation_m,Accumulation_max_m
2091872,996099,0.0,0.0
2163133,999691,0.0005230417684053206,0.0
2163133,999691,117.33261299771554,14.675563583392995
2188879,1006324,150.36401311722204,32.032028198444294
2188873,1022169,152.78114056364666,43.69011725911083
2184779,1024789,139.83750387462916,59.80648317164006
2180241,997370,144.4341781822102,67.46649360027469
2188549,1003604,156.17375058560643,81.20848114997216
2204187,996484,172.86999765587396,87.14202081646951
2234440,982898,211.98816651523921,92.06132059941696
2228744,1016866,212.00803140646,100.07953584502226
2223309,965477,195.39519449343692,115.36279303420629
2242284,1067406,222.1028032976727,123.06619932475674
2266402,1057748,263.85685959357727,135.64715236912545
2287123,1031489,307.5193705033792,138.57787549176163
2285655,1002104,310.96614700151196,152.6011437163904
2304314,1049368,322.42485422036975,173.73265979044413
2248444,932697,237.26269224424482,179.2510267962564
2290054,923402,297.51664520628634,203.42381431791392
2048493,970146,-130.72163906995803,217.60290013817885
2083993,999038,-34.17190954869462,224.30982974702192
2369849,916055,433.66311770185956,230.73820087781925
2386810,1037062,475.5340314629671,253.17070516585724
2160567,933908,112.62047312509155,265.2105166974745
2158551,998915,132.10081286775775,268.50060226440496
2193176,980348,165.0546159095825,278.59054261273485
2131193,940538,-22.336722475538533,289.78493791771814
2161429,916349,123.2554751487369,307.76051636620565
2222908,1003529,216.08014275433044,315.21358632020116
2222908,1003529,220.08551953726396,317.1311035088736
2371063,929451,440.4771131712735,322.7595659717394
2281364,1075591,296.9113274148804,326.3056009814445
2179992,1031429,165.05681056707274,338.5871809223943
2215115,982256,224.91135600725642,345.90219967150483
2242716,1130298,233.9070248472773,341.37608712776444
2162739,988451,154.33861697208516,345.87245928824854
1986719,969348,-113.76553944204011,352.5642000854603
2253018,942035,271.15963862334445,366.48284266032096
2172508,987066,183.64524710908756,375.27050072836755
2027263,926776,-84.25629846449745,388.64812090407366
2276956,937692,327.323178614775,397.32778832151826
2427050,969075,562.4454263476244,406.0635339140271
2425686,843541,543.3478996901663,423.37194260664387
2193731,974527,200.47603593722815,440.9121477372773
2348567,1151287,412.16182487743697,466.88701320332973
2386934,1123882,486.30566151214634,485.63398077044496
2393756,1033829,506.50183976959426,516.8413336260915
2284057,1131418,311.6773072958051,555.4131654442162
2429653,1296235,526.0561120280778,585.2613570669364
2449517,1136111,600.8285126349001,610.746597617796
2547873,1164035,775.2449305122611,643.3626696467104
2464095,1255034,603.9679681729941,663.2329803801208
2568113,1112702,829.9933540398098,694.6278312814386
2336275,1112275,412.57628179927787,714.9873931244555
2531255,1212715,736.4473546296646,736.2939699264875
2618065,1308586,887.0983364806806,759.5623785149737
2570344,1271007,807.1429736307149,772.0183881493429
2510182,1354090,673.8018938367918,784.3684759558608
2342187,1228518,390.9675754072785,793.3376870763485
2499415,1463708,639.816188397594,818.3700177665934
2384452,1118587,474.5192936361399,821.1240914648072
2443315,1086567,587.3620586343154,825.3436249128106
2282417,1118195,314.0597242305163,827.7388023758691
2282417,1118195,313.84731776294706,840.4090832695811
2282417,1118195,315.1180095487223,862.1896799625073
2282417,1118195,315.0677567955449,894.1126685695899
2467295,1057546,649.1135051512427,909.3479335187461
2488416,998334,698.7654808855332,934.1406831102698
2491811,1037538,692.2202779085967,952.31309015648
2427972,1049923,581.0027517923896,990.1113671036649
2247206,933774,282.3458929289904,1056.859101384968
2245383,1053094,281.3099295606892,1099.7379263402538
2351916,1138464,426.6478477103353,1127.7773635131066
