ts,X,Y
1,2108716.448,1015410.805
2,2068580.297,1025321.646
3,2087140.794,1001246.228
4,2060754.683,1004117.148
5,2048652.619,999911.2415
6,2048652.619,999911.2415
7,2048652.619,999911.2415
8,2060851.335,1004667.964
9,2060851.335,1004667.964
10,2060851.335,1004667.964
11,2066760.15,1005945.518
12,2072635.825,1001099.497
13,2072635.825,1001099.497
14,2072635.825,1001099.497
15,2072635.825,1001099.497
16,2089372.24,1002213.138
17,2089372.24,1002213.138
18,2089372.24,1002213.138
19,2095569.639,996229.8703
20,2034770.247,1009187.576
21,2044954.17,995991.3575
22,2166738.469,1067304.405
23,2206861.093,1083579.024
24,2121176.604,958454.0449
25,2118580.036,980341.3493
26,2133223.78,893981.0873
27,2059264.877,985394.6441
28,2130539.607,1030023.194
29,2135670.326,843327.549
30,2190300.142,932658.4969
31,2252025.225,942595.8427
32,2209515.148,921012.7366
33,2153325.648,966193.4002
34,2172198.417,901837.8093
35,2210534.306,1013591.331
36,2090064.784,990075.5093
37,2052842.361,969566.0955
38,2198972.154,1029690.24
39,2121020,1050540.121
40,2006720,993791
41,2205914.738,1049641.884
42,2279649.424,1107573.845
43,2337209.789,1140815.479
44,2103158.926,994264.9317
45,2261589.002,920408.9827
46,2245320.445,874372.4675
47,2266368.8,936968.713
48,2250228.861,1045979.559
49,2340373.822,948028.2851
50,2322675.834,1103123.593
51,2374277.471,1028562.742
52,2309966.955,1005291.005
53,2369283.358,1013303.09
54,2199647.557,1033636.828
55,2294521.073,919584.4521
56,2326052.492,808034.0513
57,2304392.496,917346.6386
58,2304392.496,917346.6386
59,2250282.916,1046462.37
60,2226622.033,1042401.181
61,2242287.798,1062424.551
62,2309826.701,1178630.672
63,2252208.339,998868.339
64,2252208.339,998868.339
65,2236098.565,1019688.077
66,2225171.109,1025246.917
67,2267811.666,856845.2118
68,2368938.859,845321.337
69,2289513.295,874984.6945
70,2289513.295,874984.6945
71,2196099.827,1056682.655
72,2236174.181,1019405.075
73,2246415.062,1142010.746
74,2224113.191,974798.4176
75,2274808.116,876563.7537
76,2289498.886,736839.4997
77,2107950.021,966937.1581
78,2224903.13,685331.4229
79,2338830.886,805207.5387
80,2176976.47,777027.8889
81,2114664.273,1092050.986
82,2368687.936,903828.9092
83,2307112.303,953941.2268
84,2339332.269,912832.2271
85,2213293.963,1053661.212
86,2213293.963,1053661.212
87,2303872.433,1108405.313
88,2141266.858,1099519.971
89,2222224.545,945571.5091
90,2206804.904,925187.7263
91,2202361.002,1097252.746
92,2135306.416,1032362.008
93,2135306.416,1021170.399
94,2152460.492,1000824.485
95,2234238.252,961087.2608
96,2293629.983,1031143.015
97,2190000.457,1019005.958
98,2092243.527,1031721.867
99,2219292.123,1173439.393
100,2279884.124,1291170.464
101,2360571.042,1235986.008
102,2466019.716,1196726.414
103,2234126.723,1269188.514
104,2351522.045,1236494.177
105,2217985.454,1177319.575
106,2295894.492,1296699.87
107,2296820.445,1238502.11
108,2405679.434,1054932.559
109,2304206.617,1352250.175
110,2262459.163,1441084.373
111,2161733.548,961258.6374
112,2115563.695,1085405.361
113,2460175.87,1395075.416
114,2414631.696,1320291.526
115,2538389.286,1397431.406
116,2484705.864,1336776.153
117,2504911.5,1340823.307
118,2599782.728,1341440.701
119,2.55E+06,1.35E+06
120,2.57E+06,1.35E+06
