X,Y,Z,River_mouth_Lengh_m,Flexure_m,Accumulation_m,Flexure_min_m,Flexure_mean_m,Flexure_max_m
0,0,0,0,0,0,0,0,0
2086378.665,1006837.547,-0.294518484,2269505.072,-3.080170252,-27.58664274,-12.01140968,-2.597086707,3.203074826
2088389.913,1016447.26,-0.267575878,2279322.999,-5.402075755,-44.51097608,-24.78572331,-5.336654938,7.303052534
2117287.925,988865.4897,-0.458866326,2306284.327,-14.67767239,-6.482313132,-37.5014823,-11.136701,10.37262421
2082580.186,995324.6396,-0.024277892,2269827.748,-7.336745152,10.75373734,-49.8924046,-9.231409213,15.31233102
2069499.639,992737.7942,-0.038992681,2256493.863,-4.297938496,-52.49708401,-60.41192981,-8.305344417,19.98669151
2069499.639,992737.7942,-0.030364893,2256493.863,-3.936722575,-53.76490092,-72.055567,-9.215167266,24.22971469
2069499.639,992737.7942,-0.008361427,2256493.863,-3.655794517,-54.94507408,-83.86462013,-10.10920312,28.66155941
2082580.186,995324.6396,-0.027007694,2269827.748,-8.050203325,4.866168255,-100.1890005,-14.8065576,32.06506731
2082580.186,995324.6396,-0.004286548,2269827.748,-7.69481988,3.399483912,-112.1193261,-15.66250065,36.32585733
2082580.186,995324.6396,-0.004223332,2269827.748,-7.280375208,1.939583717,-124.0326906,-16.44817753,40.52847476
2091872.331,996099.2746,-0.006886549,2279152.125,-12.73720413,18.75567937,-138.1287847,-21.30672341,43.90718139
2099593.464,990871.6443,-0.066353304,2288476.503,-17.46108807,-34.83419625,-150.2945714,-25.54747495,47.98142357
2099593.464,990871.6443,-0.053658682,2288476.503,-17.25889518,-35.10848779,-161.221863,-26.40564513,52.0527894
2099593.464,990871.6443,-0.047569978,2288476.503,-16.93519137,-35.48988719,-172.0710289,-27.13610056,56.13200164
2099593.464,990871.6443,-0.010224613,2288476.503,-16.45124025,-35.98508454,-182.2881468,-27.65495474,60.20963105
2117287.925,988865.4897,-0.048893511,2306284.327,-35.15871801,9.291629912,-202.39797,-39.22787879,61.23777162
2117287.925,988865.4897,-0.028705579,2306284.327,-35.20543546,9.355472871,-212.8016962,-40.05838033,65.16593808
2117287.925,988865.4897,-0.005884075,2306284.327,-35.09814096,9.274519556,-222.7337462,-40.70674153,69.06620499
2127979.499,984491.0728,-0.05590991,2317836.178,-42.41749257,8.870353441,-237.8859474,-49.53657798,71.40756371
2127979.499,984491.0728,-0.033866174,2317836.178,-42.28762403,8.822288376,-247.242323,-50.22908363,75.19851063
2325681.127,814188.2475,-48.12253721,2633560.674,-202.9218555,503.9991307,-270.5735587,-165.6665242,-14.49594703
2217869.034,900643.8847,-29.96964017,2452534.651,-139.2022764,306.0846139,-283.8680348,-120.8462094,50.78976806
2217869.034,1015000,-2738.353393,3464264.401,-143.8955203,2.948414874,-155.9204707,-100.2704991,-23.99225483
2088389.913,1016447.26,42.96332295,2370698.267,-13.07005689,-27.65830416,-250.8500588,-31.59722502,67.7893387
2211811.1,1137421.65,-4.240801236,2585465.908,-126.6637095,292.6001471,-298.7128354,-114.2516318,56.49758094
2377434.871,1138805.548,-55.02400769,2833659.268,-244.038946,630.4384248,-313.3821502,-204.3303004,-78.12978276
2239348.368,1146443.924,-29.5540697,2617463.685,-151.3693917,336.2104969,-311.8846785,-134.6919564,48.11814614
2131563.362,1024001.077,29.23880766,2428955.602,-54.49632652,55.13462747,-303.7367255,-66.63028182,75.54255948
2104884.229,1015567.794,47.18343204,2386595.912,-27.66920263,1.999012851,-293.8479249,-47.49266714,81.1416211
2230980.852,1201822.438,-0.317888483,2664251.895,-148.4795532,337.3836584,-338.4134434,-134.6568742,64.57356849
2375138.585,1212761.444,-53.67935974,2847022.87,-264.3658088,644.5705178,-357.7834859,-224.3252476,-67.74790935
2283279.907,1202923.89,-31.47107893,2744812.124,-204.0032689,443.0133908,-361.6122609,-182.4962596,30.34236302
2071980.691,1014556.925,28.29774344,2353560.42,9.935805579,-30.32664922,-258.4963068,-10.33959222,98.66493451
2123804.892,958761.8061,45.9203131,2468960.314,-54.7218417,52.92309957,-333.0947755,-67.20918339,92.79769341
2295892.875,902960.6167,-2.8593368,2690747.199,-290.2396937,608.6845163,-427.406202,-253.1584746,-8.269286665
2379418.836,773079.6229,-51.89846356,2903905.134,-306.1054117,682.1080477,-413.3015043,-271.078177,-76.6029585
2324695.211,897440.2863,-30.76485749,2722650.388,-306.6375447,630.1152787,-426.2888279,-279.3977521,-38.83600978
2192210.446,950091.9935,27.07502088,2551319.711,-147.6026661,332.3701149,-411.8929903,-145.2825133,77.13141881
2146923.289,973996.6461,47.35687525,2474621.429,-98.45156974,235.3792219,-376.9919977,-95.67752566,98.78104682
2338960.076,924985.8012,-2.575146007,2798252.572,-360.8941224,744.6387445,-484.5298044,-326.0772447,-69.71665624
2392804.144,1119106.475,-48.31015788,3067044.809,-371.730939,787.6321915,-474.4028091,-339.2349587,-130.2796873
2355916.72,955364.4644,-29.6705436,2839126.089,-382.2285431,786.5341803,-494.6137323,-343.5589043,-99.15502744
2146923.289,973996.6461,28.2309846,2474621.429,-94.03015732,216.8474693,-384.1356069,-91.28215976,108.665363
2131680.701,1056824.782,47.4475631,2465521.738,-58.37297899,47.30549928,-380.3818819,-74.41830843,121.4502998
2256498.395,1286442.707,-0.021021102,2832954.186,-196.1963889,420.0885049,-424.7591942,-176.3794572,87.63921239
2419981.878,1219256.488,-49.27105023,3106424.75,-397.6201406,852.6416803,-518.5611657,-362.4466758,-146.7147346
2307571.764,1257673.706,-30.81093325,2902743.848,-273.152206,553.2932083,-483.7684467,-248.0332002,30.60252913
2144539.133,1078791.083,26.93854263,2491770.371,-69.10699851,93.54566319,-392.9445147,-84.12902388,129.6355774
2161704.154,942784.9945,45.6190062,2484534.708,-111.8808506,267.2868,-430.7451514,-116.9585564,115.4033226
2388386.262,963035.7401,-3.115437265,2782869.297,-457.6449754,935.4688994,-591.5185083,-422.3007059,-157.5194842
2504243.859,1023972.595,-49.42510099,2958228.705,-556.4453689,1191.47009,-598.6083325,-515.2688426,-341.2421186
2425263.638,1025697.674,-33.71588466,2866465.33,-501.4316977,1016.834721,-623.7746139,-464.2886011,-220.4875944
2148331.945,957542.6535,27.79730148,2464613.073,-90.25540879,194.7517214,-409.0973006,-93.03088742,129.3066799
2174231.603,1008431.638,46.96021162,2476432.783,-132.2588406,308.4423276,-465.6797017,-138.1534653,114.1555776
2296710.815,1250696.045,-2.389913021,2873481.978,-290.2023143,582.6826084,-547.5464872,-267.374071,49.53445151
2385715.159,1460871.69,-52.02316343,3214046.33,-298.2257552,655.2937479,-485.0561403,-266.3270137,-33.17127145
2320673.138,1302224.302,-29.81186535,2924531.3,-298.8458429,591.2921272,-538.0977929,-281.2614106,26.8690996
2174231.603,1008431.638,29.35472056,2494766.649,-129.2622106,292.7311708,-461.6270568,-133.9113451,121.6489107
2146909.533,1108241.417,46.38448898,2501548.626,-84.36797889,196.3013144,-423.1691887,-86.41926029,158.9086505
2383473.777,1108472.08,-3.59577319,2928059.042,-461.2146937,905.2165113,-674.602784,-444.6802405,-142.3549969
2437810.739,1305500.715,-50.02916166,3202181.195,-464.612141,942.6553308,-650.9268013,-438.0900587,-169.0772897
2430063.355,1119416.02,-29.57235582,2977909.954,-523.2735317,1030.511337,-689.3623784,-498.2994942,-221.124546
2208422.884,1092412.387,27.98408871,2568186.843,-190.2730438,393.9071898,-511.5930372,-180.8583598,120.603031
2172646.77,988303.6693,47.31519556,2529974.22,-137.0919906,316.0122284,-484.160313,-138.0749736,127.2603513
2441171.709,1069025.478,-3.56685344,3000972.755,-565.4385944,1126.079368,-746.6368144,-541.1503342,-255.4342591
2564109.695,1081309.26,-49.11487787,3272611.495,-695.4069709,1447.316842,-760.1675134,-657.0922862,-454.3611872
2478436.902,1157583.506,-29.84909853,3112745.64,-599.5660074,1196.053965,-784.5539274,-571.4997813,-291.722771
2231997.223,974059.1463,29.42988233,2606103.095,-237.524209,487.1291442,-565.8287546,-230.0415889,78.14609104
2193722.241,998999.7466,47.44401639,2544583.891,-170.5684685,375.2713881,-520.5443977,-172.1573257,115.9611076
2308931.852,650799.4417,-0.53561156,3015892.138,-291.8943072,585.8894488,-552.2995579,-272.3949117,74.61813115
2500139.166,630505.957,-53.56227613,3281573.365,-504.2509776,1087.590056,-663.4221101,-468.1978169,-260.2794729
2416229.95,712546.0077,-32.71901204,3153644.431,-468.6050176,932.3314594,-671.9721511,-443.1762531,-142.1358662
2218394.675,916651.026,28.68342732,2645726.214,-215.2835206,439.0281115,-535.0993028,-202.4100143,110.8882659
2190773.831,887459.9368,46.32748208,2565829.139,-157.2716841,346.3939382,-511.7878015,-157.6634161,149.2664417
2359096.754,673603.4182,-2.505096136,3016634.309,-392.5112458,771.8881709,-657.9012286,-373.5671534,-19.15506253
2426070.053,515736.1612,-48.67528153,3306685.137,-417.0840633,851.6252227,-619.1719751,-379.6340392,-106.9138982
2341951.447,594781.3504,-29.8080202,3104852.938,-332.2307136,644.3803014,-601.6304112,-316.7325773,35.6877002
2229069.416,921692.5739,29.13468317,2622342.801,-238.4510486,476.8615368,-562.670365,-223.6811238,104.523661
2192255.778,931494.6418,47.47622981,2535578.077,-167.816799,363.8220476,-527.7954729,-167.5023512,139.3424693
2439819.722,784135.4116,-1.688098285,3111080.371,-556.6983614,1094.491739,-785.1447097,-541.6021248,-222.994488
2557241.333,712689.5522,-47.7360622,3381048.533,-683.7406873,1397.49702,-834.7675509,-653.5558813,-404.3337914
2480551.138,828687.2038,-30.37273227,3174919.805,-622.4489303,1218.545135,-832.8521115,-605.4908896,-314.8534622
