X,Y,Z,River_mouth_Lengh_m,Flexure_m,Accumulation_m,Flexure_min_m,Flexure_mean_m,Flexure_max_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2086378.6652598938,1006837.5473094003,-0.2945184840897758,2269505.072332679,-3.0801702515483806,-27.58664273761956,-12.011409683138748,-2.597086707327,3.2030748263639337
2088389.9127696853,1016447.2597724278,-0.2675758783679345,2279322.999311818,-5.4020757546592515,-44.510976077968245,-24.78572330794713,-5.336654938106335,7.303052533959748
2117287.92513306,988865.4896597528,-0.4588663262832633,2306284.327176349,-14.677672387700133,-6.4823131318141645,-37.501482301991466,-11.136700996808864,10.372624211393385
2082580.1857668944,995324.6396420901,-0.024277891525797124,2269827.7475808533,-7.336745151744212,10.753737342283559,-49.89240460153655,-9.231409213362534,15.312331023394746
2069499.6390509254,992737.7942165041,-0.03899268111925359,2256493.8632389028,-4.297938496317826,-52.497084010190896,-60.41192981303398,-8.305344416916906,19.986691505768565
2069499.6390509254,992737.7942165041,-0.030364892901498502,2256493.8632389028,-3.9367225751515464,-53.76490091797194,-72.05556699952388,-9.215167266092477,24.22971468834914
2069499.6390509254,992737.7942165041,-0.008361426620779057,2256493.8632389028,-3.6557945174954454,-54.945074082231166,-83.86462013384094,-10.10920312476646,28.66155940534645
2082580.1857668944,995324.6396420901,-0.027007693893737448,2269827.7475808533,-8.050203325210685,4.8661682551824486,-100.18900045811371,-14.806557595859708,32.06506731339794
2082580.1857668944,995324.6396420901,-0.004286547757748987,2269827.7475808533,-7.694819879937629,3.3994839115619087,-112.11932608117675,-15.662500652029555,36.325857328242236
2082580.1857668944,995324.6396420901,-0.0042233316650341565,2269827.7475808533,-7.280375207616461,1.9395837172736787,-124.03269063230555,-16.448177531674354,40.52847475957094
2091872.3306246526,996099.2745531795,-0.0068865491602868355,2279152.125056215,-12.737204127311898,18.75567936624981,-138.12878470518302,-21.306723408211166,43.90718138919137
2099593.4637943436,990871.6443176962,-0.06635330417765059,2288476.502531578,-17.46108807387925,-34.83419624517764,-150.2945713979207,-25.547474947265115,47.981423568013525
2099593.4637943436,990871.6443176962,-0.053658682169967255,2288476.502531578,-17.258895176498882,-35.10848778818713,-161.22186296989108,-26.405645129399446,52.052789395971764
2099593.4637943436,990871.6443176962,-0.04756997837268329,2288476.502531578,-16.93519136894681,-35.48988718724994,-172.07102891646775,-27.136100559558553,56.13200164452924
2099593.4637943436,990871.6443176962,-0.010224613023838872,2288476.502531578,-16.4512402464905,-35.98508453504531,-182.28814684219324,-27.65495473636956,60.209631050527534
2117287.92513306,988865.4896597528,-0.04889351087195362,2306284.327176349,-35.15871800704301,9.291629911579603,-202.39797001742397,-39.2278787921036,61.23777162089439
2117287.92513306,988865.4896597528,-0.028705579447754953,2306284.327176349,-35.20543545781575,9.355472871449981,-212.80169621206792,-40.058380326278254,65.16593807584896
2117287.92513306,988865.4896597528,-0.005884074984129517,2306284.327176349,-35.09814095924375,9.27451955603438,-222.73374622053248,-40.706741527274296,69.06620499367587
2127979.4985894724,984491.0727713844,-0.05590991046416145,2317836.1783737587,-42.417492571858375,8.870353440935627,-237.88594744051184,-49.53657798488107,71.40756370689111
2127979.4985894724,984491.0727713844,-0.03386617389290133,2317836.1783737587,-42.28762403201826,8.82228837621056,-247.24232303354208,-50.22908362698022,75.19851063439758
2189749.926685347,899802.7126208091,-3.4265714828365743,2474856.694076393,-109.25854567938352,250.34874833996935,-285.23885277169416,-99.84597964846589,59.67976102319128
2213415.906680934,848308.6765106317,-6.3965086660154915,2534506.6786154807,-127.29568307127658,289.48472269257684,-294.7015748176674,-115.55294142152417,52.425614839287725
2231854.236770013,831829.0825717922,-9.407500278846815,2559855.200791532,-146.51171181580807,328.99187428771046,-304.17636878879017,-132.0235801718595,49.12851416107531
2231854.236770013,831829.0825717922,-12.04892467545376,2559855.200791532,-148.97165262237047,328.785717660034,-313.80170285835624,-135.70456095104274,52.136355709059025
2245136.1588026937,825622.3799975553,-14.810008800811605,2574515.7809208194,-177.64075997516758,387.20783384824307,-326.75512899567775,-149.83348454698472,49.03347276928713
2231854.236770013,831829.0825717922,-17.11674841817323,2559855.200791532,-151.8510285724509,327.22379713132386,-335.81144524277914,-141.3107103485164,58.23936333368528
2262148.1050635497,802686.4896908433,-19.288763171738033,2603559.783671314,-187.84534669213414,403.9173563804467,-351.2519526268796,-169.45113408005807,48.29901117437017
2251513.5970448884,812575.6637283302,-21.114824349270624,2589037.782296066,-176.573463873821,375.1798833678323,-361.98232393583135,-163.1512220533991,56.577852833390736
2251513.5970448884,812575.6637283302,-22.570817884450257,2589037.782296066,-177.58012101605553,374.8676105669065,-375.33836472430806,-165.6016210184494,59.449114766751684
2262148.1050635497,802686.4896908433,-23.864712363912865,2603559.783671314,-192.42993758012486,404.16052121301885,-389.74452089242226,-178.50407823265618,56.61232918746787
2251513.5970448884,812575.6637283302,-24.59005120851497,2589037.782296066,-178.79785942918724,374.3222857121713,-398.2272215351752,-169.5301257889947,65.15063431591426
2251513.5970448884,812575.6637283302,-25.053940771526335,2589037.782296066,-179.26279300290906,374.3256432708804,-409.7767087004821,-171.2872648178632,67.9649093480563
2231854.236770013,831829.0825717922,-25.020495635727823,2559855.200791532,-152.8224882144097,321.26988186187117,-406.5579210502752,-150.99270021615473,79.18678374433966
2240459.7074021385,914390.738830105,-24.55275718375221,2483027.7227400783,-177.80208855711288,378.38397660667414,-413.70702662410895,-167.5565785986221,66.21238687270898
2236282.0917487578,905770.3164134125,-23.838363680428042,2479077.281925682,-178.70675289165538,381.16035512004356,-423.2047648425508,-164.38455136510584,74.80512334524973
2245075.012594595,932995.586340679,-22.937870942350404,2459218.6484455597,-195.98851065366804,411.7644647443444,-438.45273643293206,-177.6760252521082,67.19343680323
2233193.8027925957,956280.4092525267,-21.18737124708367,2436428.274117872,-169.86555623579162,363.72679110801016,-432.2962327509569,-163.47995156707333,77.2306362330487
2173747.0576303736,962743.672048843,-19.42341487175726,2371542.122733357,-75.19218444570016,186.94242765091016,-374.10834256829355,-87.61041683675757,117.73234674728364
2165016.0413929704,955739.0386527233,-17.224929437430678,2368552.0463648783,-75.31791622096218,187.6481982833285,-368.2203589737155,-76.87534833080238,124.97572563641823
2165351.3610260943,976492.1780470462,-14.998649649898129,2370439.9418077064,-72.65011394578563,194.29023896462263,-371.6542717011704,-77.84855317871678,126.34655851982964
2152673.924175721,966518.1939065884,-12.234973310820033,2352176.8774222885,-50.107764852271586,134.50289042730898,-363.8873291844671,-61.63482597253762,135.74613086265387
2161150.4925428526,987245.6225253978,-9.549683264546786,2356116.1704336936,-63.00907890652336,189.09434919868457,-381.9920522096315,-72.69169338737268,133.43271774820536
2172646.770254158,988303.6692857214,-6.668569903808599,2376975.2451567054,-80.36311773353944,217.41014049847453,-400.0808893014872,-89.33584229813107,130.76957027823985
