FID,Q,Area,B,L,R,T,I,Qs,Process,Structure_,MainClass,Shelf,MarginType,Fan_Area,Fan_Width,Fan_Depth,Fan_Volume,Fan_Length,Area_1,Q_1,PD_Q,Runoff,TSS,PD_TSS,SedYield,ASedConc,TDS,PD_TDS,DisYield,DisConc,Max_Elev,E_Length,S_Dist,Sed_Thick,Sed_Basin,River_S,C_Slope_S,C_Shelf_S,C_TopH,C_LowH,C_Length,C_Freq,C_Distance,C_ID,F_Depth,F_Length,F_Width,F_ID,F_Area,Slope_LowH,Slope_TopH,BoW,S_Basin_ID,10m_km,SP,Shelf_LowH,F_S,Slope_L,River_L
64,64,1.44831975744,3043.5832,1.5,1.5,1.125,21.5564,1.0,1.3506,W,Fore-arc,Equatorial,1,Active,0.0,0.0,0.0,0.0,0.0,2900,6.0,-9999,2068.97,10.0,-9999,3.448,1666.667,1.0,-9999,0.345,166.667,1300.0,5085.461791109999,8064.31730814,178.0,5.29139,7.78351,80.93532999999998,16.1204,-58.0,-1605.0,11.26571,1.0,20665.74983,1317,0.0,0.0,0.0,0,0.0,-1940.0,-789.0,South Pacific Ocean,1530,15.0858,60927.29202,-130.0,0.0,14221.23,143200.2
82,82,0.49392183801,793.1902999999999,4.0,2.0,4.209,22.9159,1.0,5.239,WF,Fore-arc,Arid,1,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5867.4076573,100306.855306,625.0,0.0,63.82913,57.98219,2.07364,-190.0,-1044.0,24.9343,1.0,101075.49785999997,693,0.0,0.0,0.0,0,0.0,-6057.0,-241.0,South Pacific Ocean,0,2.83896,54128.01854,-208.0,0.0,100306.67,65600.14
170,170,2.11570352312,4887.9091,1.0,1.0,0.92,23.1932,1.0,1.1292,WF,Fore-arc,Equatorial,1,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9594.434566900003,133147.69900600004,333.0,1.91443,5.00924,72.44566,1.32935,-199.0,-1275.0,29.81648,1.0,73626.52441,653,0.0,0.0,0.0,0,0.0,-2892.0,-230.0,North Pacific Ocean,1619,32.33067,110763.99908,-177.0,0.0,36744.78,183660.49
255,255,1.34890120436,2784.7088,3.0,1.5,3.665,19.8242,1.0,7.5723,W,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,650.63230673,29229.221163800004,8147.0,7.41751,27.61899,31.50745,7.25302,-60.0,-1508.0,42.64385,1.0,28190.47217,1310,0.0,0.0,0.0,0,0.0,-1344.0,-212.0,Gulf of Mexico,2,20.13523,81027.19486,-212.0,0.0,35928.01,127028.56
403,403,1.3907606325600002,2893.1443,2.0,1.0,1.652,23.1306,1.0,2.7319,TF,Fore-arc,Equatorial,1,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,44963.3843618,63902.06374790001,612.0,17.8196,14.65947,45.14641,1.58054,-75.0,-1710.0,48.44893,1.0,112238.17638000002,1238,0.0,0.0,0.0,0,0.0,-4267.0,-101.0,Philippine Sea,288,35.13199,84190.42177,-101.0,0.0,92277.55,107125.3
443,443,0.9149477709199999,1714.1546,2.0,1.0,1.439,23.687,1.0,1.6474,TF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,75375.826956,23194.6131749,1546.0,5.40638,13.71419,0.0,8.14844,-8.0,-3990.0,118.46591,1.0,30572.36039,1577,0.0,0.0,0.0,0,0.0,0.0,0.0,Sulu Sea,1469,53.78467,56159.53368999999,-189.0,0.0,-9999.0,98000.66
547,547,0.5184147012,842.6577999999998,3.0,1.5,1.708,24.1102,1.0,1.7552,WT,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,642542.419019,64237.706586800006,834.0,18.4225,17.84784,22.82303,1.79023,-7.0,-3011.0,117.19701,2.0,110610.87939,1580,0.0,0.0,0.0,0,0.0,-1252.0,-267.0,Java Sea,153,71.22225,71574.39867000001,-115.0,0.0,43158.16,94493.22
647,647,0.51648917155,838.7473,2.0,1.0,1.803,24.2079,1.0,1.2359,W,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16750.494878899997,45239.1975902,2012.0,34.25393,25.69235,30.43453,2.58625,-18.0,-2571.0,67.12628,5.0,60590.976489999994,1533,0.0,0.0,0.0,0,0.0,-1245.0,-117.0,South China Sea,297,43.94614,36516.89803,-117.0,0.0,37063.16,69635.52
677,677,0.37582778563,563.6905,4.0,2.0,2.458,15.8617,1.0,1.6402,WT,Foreland,Warm Temperate,2,Active,0.0,0.0,0.0,0.0,0.0,600,0.99,-9999,1650.0,1.1,-9999,1.833,1111.111,0.17,-9999,0.283,171.717,2200.0,66579.5160865,264932.379475,-9999.0,0.0,44.85937,35.73126,0.50201,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,-1437.0,-229.0,South China Sea,0,7.23773,1559.42616,-133.0,0.0,33807.93,54193.81
690,690,0.48685447696,779.0289,3.0,1.5,1.388,22.4174,1.0,1.2506,WF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13394.542088700002,18315.9718896,1050.0,0.0,29.44663,0.0,2.72986,-24.0,-3237.0,40.21236,1.0,17632.54472,1504,0.0,0.0,0.0,0,0.0,0.0,0.0,Celebes Sea,0,1.93148,34697.60616,-50.0,0.0,-9999.0,46996.89
1040,1040,1.07472351438,2096.1654,2.0,1.0,0.799,23.6643,1.0,1.0623,TF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,2200,2.3,-9999,1045.45,-9999.0,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,1800.0,2826.0718736,49180.1533598,1916.0,7.21196,7.79368,72.44061,2.90768,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,-1052.0,-143.0,Philippine Sea,1471,38.1089,61429.3812,-143.0,0.0,12548.21,99940.01
1041,1041,1.06468320896,2071.7155,3.0,1.5,1.693,23.9037,1.0,3.3806,FW,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,642542.419019,64237.706586800006,834.0,8.4071,14.64872,22.82303,1.79023,-7.0,-3011.0,117.19701,2.0,105837.73653,1580,0.0,0.0,0.0,0,0.0,-1252.0,-267.0,Java Sea,153,46.46673,80669.63305999998,-115.0,0.0,43158.16,115477.69
1556,1556,0.29637469321,418.8958,4.0,2.0,1.797,22.9245,1.0,1.388,WF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,546.3521268,38848.83154670001,2291.0,0.0,44.55869,30.43453,3.01167,-18.0,-2571.0,67.12628,5.0,31621.63886,1533,0.0,0.0,0.0,0,0.0,-1245.0,-117.0,South China Sea,0,6.80559,22693.485820000005,-117.0,0.0,37063.16,40180.71
1706,1706,0.71583227737,1261.3009,4.0,2.0,2.418,20.9347,1.0,3.8899,WF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1708.18789489,3213.55718209,-9999.0,0.0,30.50192,36.65345,44.81016,-1.0,-1411.0,26.41996,1.0,19622.20239,1606,0.0,0.0,0.0,0,0.0,-2567.0,-144.0,South China Sea,0,1.52962,46036.26753,-144.0,0.0,66105.65,79142.55000000002
2183,2183,0.3523844296,520.0864,4.0,2.0,1.511,22.6641,1.0,1.3565,WF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,159.50543554,11284.574241,2400.0,0.0,28.32455,26.14919,10.36814,-18.0,-2571.0,67.12628,5.0,17207.16008,1533,0.0,0.0,0.0,0,0.0,-1245.0,-117.0,South China Sea,0,3.35519,31597.32301,-117.0,0.0,43137.09,53307.12
2365,2365,0.48636205371,778.0440999999998,4.0,2.0,3.397,12.3131,1.0,2.2394,WF,Foreland,Warm Temperate,2,Active,0.0,0.0,0.0,0.0,0.0,760,1.6,-9999,2105.26,4.0,-9999,5.263,2500.0,0.27,-9999,0.355,168.75,3300.0,38669.8368855,235237.30501100005,6335.0,0.0,37.41377,34.71158,0.46336,-146.0,-2048.0,56.48582,5.0,128358.16184,862,0.0,0.0,0.0,0,0.0,-1669.0,-355.0,South China Sea,0,2.61527,124.37563,-109.0,0.0,37854.8,90795.44999999998
2396,2396,0.35493367261,524.7937,2.0,2.0,2.285,26.5479,1.0,1.2096,WF,Fore-arc,Arid,1,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,569.425917,62577.4494234,375.0,0.0,39.10305,47.10651,2.39703,-204.0,-2841.0,53.94451,7.0,53760.82400999999,633,0.0,0.0,0.0,0,0.0,-5945.0,-264.0,South Pacific Ocean,0,3.01971,35660.41611,-150.0,0.0,120599.04,58266.56
2667,2667,0.26924247079999997,371.5216,4.0,2.0,2.383,18.0076,1.0,1.3217,WF,Foreland,Equatorial,1,Active,0.0,0.0,0.0,0.0,0.0,340,0.86,-9999,2529.41,1.8,-9999,5.294,2093.023,0.19,-9999,0.559,220.93,2900.0,2786.80723097,18053.2385619,-9999.0,18.95658,73.19939999999998,33.8777,17.00526,3.0,-1236.0,51.25889,2.0,13161.61589,1628,0.0,0.0,0.0,0,0.0,-2568.0,-307.0,South China Sea,356,18.60105,25929.72907,-307.0,0.0,66740.06,32287.15
3193,3193,0.30293257355000003,430.5138,4.0,2.0,2.175,17.0213,1.0,1.2731,WF,Foreland,Warm Temperate,2,Active,0.0,0.0,0.0,0.0,0.0,470,0.9,-9999,1914.89,1.7,-9999,3.617,1888.889,0.13,-9999,0.277,144.44399999999996,2600.0,66579.5160865,264932.379475,-9999.0,0.0,51.6284,35.73126,0.50201,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,-1437.0,-229.0,South China Sea,0,20.34028,26902.2708,-133.0,0.0,33807.93,42127.98
3452,3452,0.31036610563,443.7593,3.0,1.5,2.378,19.787,1.0,1.2414,WF,Passive Margin,Equatorial,1,Passive,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,732.82175984,26605.075949799993,8341.0,3.05824,41.6574,31.40829,5.78837,-60.0,-1508.0,42.64385,1.0,34541.29458,1310,0.0,0.0,0.0,0,0.0,-1370.0,-166.0,Gulf of Mexico,341,7.77668,46410.741,-154.0,0.0,38333.83,56981.47
3549,3549,0.37782525515,567.4379,3.0,1.5,1.416,22.3992,1.0,1.0057,WF,Foreland,Equatorial,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6640.102297249999,9871.55010607,1024.0,0.0,23.24492,89.9394,13.47306,-57.0,-2633.0,23.05212,2.0,11924.67905,1321,0.0,0.0,0.0,0,0.0,-3214.0,-133.0,Celebes Sea,0,9.97006,39612.18666,-133.0,0.0,34256.4,59767.91
3699,3699,0.35995229137999996,534.0855,4.0,2.0,2.176,16.5678,1.0,1.4567,WF,Foreland,Warm Temperate,2,Active,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,66579.5160865,264932.379475,-9999.0,0.0,42.64336,35.73126,0.50201,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,-1437.0,-229.0,South China Sea,0,7.60318,30378.35133,-133.0,0.0,33807.93,50017.17
