River	Area_km2	Width_km
Amazon	5853804	330
Ganges	1628405	270
Mekong	758560	150
Niger	1240019	240
Irrawaddy	405963	235
Mississippi	3202959	225
Mackenzie	1794920	220
Parana	2604048	220
Uruguay	355505	220
Indus	941101	200
Zhujiang (Pearl; China)	370000	200
Murray‐Darling	1031512	195
Nile	2026122	195
Fly (Papua New Guinea)	64413	165
Rio Grande	804792	190
Loire (France)	115000	190
Hudson	43252	180
Dniestr	71995	175
Danube	779002	165
Burdekin (Australia)	121214	158
Orinoco	939362	145
Altamaha	41580	140
Zambezi	1363582	140
Fitzroy	138489	135
Ogeechee (USA)	6700	135
Brazos	115040	130
Garonne	84000	130
Savannah	27905	130
Alabama	124158	120
Delaware	28950	120
Potomac	38419	120
Colorado (Texas)	101178	103
Copper (USA)	61804	97
Apalachicola	54830	90
Colville	60433	90
Peedee	22604	90
Roanoke	34756	90
Santee	36590	90
Zaire/Congo	3698803	90
Colorado (Mexico)	637573	85
Burnett	33000	80
Pamlico (USA)	11000	80
Tar (USA)	57000	80
Rakaia (New Zealand)	2600	75
Krishna	258684	65
Ebro	85000	60
Godavari	312575	60
Limpopo	380337	55
Rhone	99298	55
Sanaga	129212	54
Waimakariri (New Zealand)	3600	54
Lockhart (Australia)	2800	53
Rufiji	186759	52
Derwent (Australia)	7764	50
Endeavour (Australia)	2200	46
Hunter	22000	46
Sao Francisco	590148	46
Mahanadi (India)	142207	45
Ceyhan	21201	42
Daintree (Australia)	2100	38
Medjerda	27438	38
Senegal	270000	38
Agno (Philippines)	2210	36
Burrum (Australia)	3300	35
Volta	398071	33
Ngaruroro (New Zealand)	1900	32
Whakatane (New Zealand)	1600	32
Karamea (New Zealand)	1200	31
Columbia	670973	30
Orange	943577	30
Bou Selham (Morocco)	2300	25
Chira (Peru)	20000	25
Citanduy (India)	3560	25
Klamath (USA)	27197	25
Santa Clara (USA)	4200	25
Buller (New Zealand)	6350	24
Tarsus (Turkey)	1400	24
Sakarya (Turkey)	55300	23
Tana (Kenya)	98896	23
Filyos (Turkey)	13000	22
Sebou	38402	22
Arno (Italy)	8100	20
Goksu (Turkey)	8920	19
Redwood Creek (USA)	730	18
Crati (Italy)	1300	17
Mad (USA)	1200	17
Russian (USA)	36000	17
Waipaoa (New Zealand)	2200	17
Chorokhi	22030	16
Hawkesbury (Australia)	22000	16
Shkumbini (Albania)	2400	16
Arzilla (Italy)	100	15
Waiau (New Zealand)	4620	14
Aso (Italy)	280	14
Eel	8500	14
Hokitika (New Zealand)	1350	14
Melet (Turkey)	1000	14
Drini (Albania)	13000	12
Adour	7830	11
Volturno (Italy)	5500	11
Chellif	57982	10
Rangitaiki (New Zealand)	2300	10
Haast (New Zealand)	930	9
Osumi (Albania)	2000	9
Chienti (Italy)	1300	8
Tafna (Algeria)	6900	8
Morondava (Madagascar)	4200	7
Sinni (Italy)	1100	7
Tiber (Italy)	16000	7
Waiapu (New Zealand)	1700	6.5
Cleddau (New Zealand)	160	5
Agrioun (Algeria)	660	4
Hualien (Taiwan)	1506	4
Isser (Algeria)	3600	4
Semani (Albania)	5200	4
Waioeka (New Zealand)	640	4
Peinan (Bei‐Nan; Taiwan)	1584	3.5
Tukituki (New Zealand)	2400	3.5
Carmel (USA)	630	2
Kaoping (Gao‐Ping; Taiwan)	3076	2
Sebaou (Algeria)	1500	1
Var (France)	2820	1
